# Generated by scripts/gen_width_data.py from UCD 15.1.0. Do not edit.
2121	2122	A
2126	2126	A
212B	212B	A
2153	2154	A
215B	215E	A
2160	216B	A
2170	2179	A
2189	2189	A
2190	2199	A
21B8	21B9	A
21D2	21D2	A
21D4	21D4	A
21E7	21E7	A
2200	2200	A
2202	2203	A
2207	2208	A
220B	220B	A
220F	220F	A
2211	2211	A
2215	2215	A
221A	221A	A
221D	2220	A
2223	2223	A
2225	2225	A
2227	222C	A
222E	222E	A
2234	2237	A
223C	223D	A
2248	2248	A
224C	224C	A
2252	2252	A
2260	2261	A
2264	2267	A
226A	226B	A
226E	226F	A
2282	2283	A
2286	2287	A
2295	2295	A
2299	2299	A
22A5	22A5	A
22BF	22BF	A
2312	2312	A
231A	231B	W
2329	232A	W
23E9	23EC	W
23F0	23F0	W
23F3	23F3	W
2460	24E9	A
24EB	254B	A
2550	2573	A
2580	258F	A
2592	2595	A
25A0	25A1	A
25A3	25A9	A
25B2	25B3	A
25B6	25B7	A
25BC	25BD	A
25C0	25C1	A
25C6	25C8	A
25CB	25CB	A
25CE	25D1	A
25E2	25E5	A
25EF	25EF	A
25FD	25FE	W
2605	2606	A
2609	2609	A
260E	260F	A
2614	2615	W
261C	261C	A
261E	261E	A
2640	2640	A
2642	2642	A
2648	2653	W
2660	2661	A
2663	2665	A
2667	266A	A
266C	266D	A
266F	266F	A
267F	267F	W
2693	2693	W
269E	269F	A
26A1	26A1	W
26AA	26AB	W
26BD	26BE	W
26BF	26BF	A
26C4	26C5	W
26C6	26CD	A
26CE	26CE	W
26CF	26D3	A
26D4	26D4	W
26D5	26E1	A
26E3	26E3	A
26E8	26E9	A
26EA	26EA	W
26EB	26F1	A
26F2	26F3	W
26F4	26F4	A
26F5	26F5	W
26F6	26F9	A
26FA	26FA	W
26FB	26FC	A
26FD	26FD	W
26FE	26FF	A
2705	2705	W
270A	270B	W
2728	2728	W
273D	273D	A
274C	274C	W
274E	274E	W
2753	2755	W
2757	2757	W
2776	277F	A
2795	2797	W
27B0	27B0	W
27BF	27BF	W
2B1B	2B1C	W
2B50	2B50	W
2B55	2B55	W
2B56	2B59	A
2CEF	2CF1	Z
2D7F	2D7F	Z
2DE0	2DFF	Z
2E80	2E99	W
2E9B	2EF3	W
2F00	2FD5	W
2FF0	3029	W
302A	302F	Z
3030	303E	W
3041	3096	W
3099	309A	Z
309B	30FF	W
3105	312F	W
3131	3163	W
3164	3164	Z
3165	318E	W
3190	31E3	W
31EF	321E	W
3220	3247	W
3248	324F	A
3250	4DBF	W
4E00	A48C	W
A490	A4C6	W
A66F	A672	Z
A674	A67D	Z
A69E	A69F	Z
A6F0	A6F1	Z
A802	A802	Z
A806	A806	Z
A80B	A80B	Z
A825	A826	Z
A82C	A82C	Z
A8C4	A8C5	Z
A8E0	A8F1	Z
A8FF	A8FF	Z
A926	A92D	Z
A947	A951	Z
A960	A97C	W
A980	A982	Z
A9B3	A9B3	Z
A9B6	A9B9	Z
A9BC	A9BD	Z
A9E5	A9E5	Z
AA29	AA2E	Z
AA31	AA32	Z
AA35	AA36	Z
AA43	AA43	Z
AA4C	AA4C	Z
AA7C	AA7C	Z
AAB0	AAB0	Z
AAB2	AAB4	Z
AAB7	AAB8	Z
AABE	AABF	Z
AAC1	AAC1	Z
AAEC	AAED	Z
AAF6	AAF6	Z
ABE5	ABE5	Z
ABE8	ABE8	Z
ABED	ABED	Z
AC00	D7A3	W
E000	F8FF	A
F900	FAFF	W
FB1E	FB1E	Z
FE00	FE0F	Z
FE10	FE19	W
FE20	FE2F	Z
FE30	FE52	W
FE54	FE66	W
FE68	FE6B	W
FEFF	FEFF	Z
FF01	FF60	W
FF9E	FFA0	Z
FFE0	FFE6	W
FFF0	FFFB	Z
FFFD	FFFD	A
101FD	101FD	Z
102E0	102E0	Z
10376	1037A	Z
10A01	10A03	Z
10A05	10A06	Z
10A0C	10A0F	Z
10A38	10A3A	Z
10A3F	10A3F	Z
10AE5	10AE6	Z
10D24	10D27	Z
10EAB	10EAC	Z
10EFD	10EFF	Z
10F46	10F50	Z
10F82	10F85	Z
11001	11001	Z
11038	11046	Z
11070	11070	Z
11073	11074	Z
1107F	11081	Z
110B3	110B6	Z
110B9	110BA	Z
110BD	110BD	Z
110C2	110C2	Z
110CD	110CD	Z
11100	11102	Z
11127	1112B	Z
1112D	11134	Z
11173	11173	Z
11180	11181	Z
111B6	111BE	Z
111C9	111CC	Z
111CF	111CF	Z
1122F	11231	Z
11234	11234	Z
11236	11237	Z
1123E	1123E	Z
11241	11241	Z
112DF	112DF	Z
112E3	112EA	Z
11300	11301	Z
1133B	1133C	Z
1133E	1133E	Z
11340	11340	Z
11357	11357	Z
11366	1136C	Z
11370	11374	Z
11438	1143F	Z
11442	11444	Z
11446	11446	Z
1145E	1145E	Z
114B0	114B0	Z
114B3	114B8	Z
114BA	114BA	Z
114BD	114BD	Z
114BF	114C0	Z
114C2	114C3	Z
115AF	115AF	Z
115B2	115B5	Z
115BC	115BD	Z
115BF	115C0	Z
115DC	115DD	Z
11633	1163A	Z
1163D	1163D	Z
1163F	11640	Z
116AB	116AB	Z
116AD	116AD	Z
116B0	116B5	Z
116B7	116B7	Z
1171D	1171F	Z
11722	11725	Z
11727	1172B	Z
1182F	11837	Z
11839	1183A	Z
11930	11930	Z
1193B	1193C	Z
1193E	1193E	Z
11943	11943	Z
119D4	119D7	Z
119DA	119DB	Z
119E0	119E0	Z
11A01	11A0A	Z
11A33	11A38	Z
11A3B	11A3E	Z
11A47	11A47	Z
11A51	11A56	Z
11A59	11A5B	Z
11A8A	11A96	Z
11A98	11A99	Z
11C30	11C36	Z
11C38	11C3D	Z
11C3F	11C3F	Z
11C92	11CA7	Z
11CAA	11CB0	Z
11CB2	11CB3	Z
11CB5	11CB6	Z
11D31	11D36	Z
11D3A	11D3A	Z
11D3C	11D3D	Z
11D3F	11D45	Z
11D47	11D47	Z
11D90	11D91	Z
11D95	11D95	Z
11D97	11D97	Z
11EF3	11EF4	Z
11F00	11F01	Z
11F36	11F3A	Z
11F40	11F40	Z
11F42	11F42	Z
13430	13440	Z
13447	13455	Z
16AF0	16AF4	Z
16B30	16B36	Z
16F4F	16F4F	Z
16F8F	16F92	Z
16FE0	16FE3	W
16FE4	16FE4	Z
16FF0	16FF1	W
17000	187F7	W
18800	18CD5	W
18D00	18D08	W
1AFF0	1AFF3	W
1AFF5	1AFFB	W
1AFFD	1AFFE	W
1B000	1B122	W
1B132	1B132	W
1B150	1B152	W
1B155	1B155	W
1B164	1B167	W
1B170	1B2FB	W
1BC9D	1BC9E	Z
1BCA0	1BCA3	Z
1CF00	1CF2D	Z
1CF30	1CF46	Z
1D165	1D165	Z
1D167	1D169	Z
1D16E	1D182	Z
1D185	1D18B	Z
1D1AA	1D1AD	Z
1D242	1D244	Z
1DA00	1DA36	Z
1DA3B	1DA6C	Z
1DA75	1DA75	Z
1DA84	1DA84	Z
1DA9B	1DA9F	Z
1DAA1	1DAAF	Z
1E000	1E006	Z
1E008	1E018	Z
1E01B	1E021	Z
1E023	1E024	Z
1E026	1E02A	Z
1E08F	1E08F	Z
1E130	1E136	Z
1E2AE	1E2AE	Z
1E2EC	1E2EF	Z
1E4EC	1E4EF	Z
1E8D0	1E8D6	Z
1E944	1E94A	Z
1F004	1F004	W
1F0CF	1F0CF	W
1F100	1F10A	A
1F110	1F12D	A
1F130	1F169	A
1F170	1F18D	A
1F18E	1F18E	W
1F18F	1F190	A
