# German (de) language-specific overrides
# Convention: standard German umlaut expansion (ä→ae, ö→oe, ü→ue, ß→ss)

00C4	Ae
00D6	Oe
00DC	Ue
00E4	ae
00F6	oe
00FC	ue
1E9E	SS
